,Cu,Ni,Cr,NO3
691,4.143444,4.0909386,0.552393,18.053865
692,3.685679,4.853136,1.1093037,20.273237
693,3.238962,5.0737457,1.8735254,22.195095
694,3.0694256,4.8317637,2.4895275,23.067636
695,3.5696335,4.976967,3.0125844,25.614956
696,3.2710054,4.0053625,3.757683,25.602636
697,3.690218,3.5660312,4.5911374,28.165607
698,3.4028652,5.1793346,4.3623466,29.94401
699,2.9494057,4.6140966,5.0658607,30.384123
700,3.2319138,0.84529257,0.26043564,9.132983
701,3.0836267,1.0312855,0.8250197,10.690637
702,2.809577,1.6526704,1.4715614,13.335884
703,2.7056825,1.615278,2.1259458,15.12825
704,3.5637157,1.1325096,2.3256352,16.238169
705,4.0207915,0.069774024,2.8807342,16.77874
706,3.6228492,0.7144677,3.383455,18.771477
707,3.652881,0.24536967,4.079654,19.705091
708,3.397525,0.9461055,4.4100165,21.628788
709,3.6610613,0.0,5.1505847,22.37846
710,3.5208836,1.1122473,0.18912333,9.890184
711,3.2084587,1.7489963,0.7797238,11.984127
712,3.3038895,1.9092788,1.3530264,14.429905
713,3.1637402,2.103806,1.8927445,16.028389
714,3.2171965,1.6672953,2.4773793,17.150389
715,3.036535,0.86394167,3.324819,17.580902
716,3.2588658,1.0522292,3.5694163,19.018017
717,2.5889194,1.0915433,4.2929616,19.969597
718,3.629088,0.981781,4.6954823,23.241352
719,3.300203,1.0677719,4.9928737,23.732756
720,3.2444563,2.7146053,0.11483096,12.295962
721,3.111401,2.3469641,0.7350469,12.920748
722,3.2061012,2.0510566,1.2184664,13.978788
723,3.3000429,2.0835218,1.7445347,15.987538
724,2.4263542,2.8283427,2.5320451,18.183817
725,3.1798391,1.3144219,2.935699,17.791178
726,3.1337268,1.468217,3.5721745,19.785963
727,3.2620034,1.4337833,4.0068917,21.28938
728,3.231031,1.2752053,4.5590606,22.665836
729,3.0928383,1.590381,5.2732253,25.09471
730,3.6951058,2.010654,0.12991974,11.570861
731,3.381106,2.8441463,0.5847137,14.087617
732,3.2183654,2.3257182,1.236014,14.597624
733,3.0888262,2.136277,1.8516294,15.883321
734,3.0086434,2.138871,2.3431609,17.247086
735,3.1166537,2.0391057,3.0531693,19.255888
736,3.36359,0.87856597,3.5705159,19.132874
737,2.8466456,1.7333361,4.3253465,22.097822
738,3.1321726,2.176279,4.6803493,24.307375
739,3.0210204,1.7794197,5.1116056,24.936674
740,3.6674545,3.2139015,0.010483071,13.581525
741,3.3160598,2.8898308,0.70581746,14.3253355
742,3.6563861,2.8523293,1.1452957,16.402662
743,3.3479319,2.8736696,1.8288351,17.770279
744,3.3097687,2.4430919,2.3750257,18.411171
745,3.4500089,2.574305,2.8772516,20.384687
746,2.974653,2.8297846,3.5029068,21.673353
747,3.3592124,2.2129397,4.159905,23.437975
748,3.2929325,2.4969115,4.745804,25.651466
749,3.2202575,1.8136138,5.3317385,25.772665
750,3.719356,3.0040152,0.13564846,13.693957
751,3.8641572,3.3484943,0.6046452,16.070988
752,3.6859725,3.5400844,1.1491536,17.73848
753,3.7967675,3.0759892,1.7914597,18.954445
754,3.2350378,3.77763,2.404307,21.069088
755,3.7377477,1.5397905,3.1471074,19.781858
756,4.200482,2.929205,3.4084196,24.294685
757,3.976748,2.2183702,4.0650964,24.17862
758,3.6586325,2.5672762,4.6159515,25.878511
759,3.7446601,2.3046963,5.138423,27.161957
760,4.027756,3.7841408,0.16931245,15.923461
761,4.1649537,2.7762003,0.5493384,15.402855
762,3.9588466,3.2374701,1.109431,17.652502
763,3.9325006,3.068544,1.4652903,18.197496
764,3.9066784,2.3523006,2.3698356,19.330244
765,3.8825758,3.0595417,2.7502434,21.78652
766,4.291833,2.9728909,3.2514493,24.130672
767,3.6609297,2.6036925,4.204722,24.888279
768,3.4615216,3.6072392,4.4931526,27.34364
769,3.4436235,2.9519703,5.0433774,27.770718
770,3.589432,4.556256,0.12148656,16.723436
771,3.8079178,3.8121688,0.6524929,17.120855
772,3.9352539,3.9344964,1.165897,18.970942
773,3.5602634,3.9713268,1.7911321,20.269245
774,3.7283046,3.5938802,2.1404846,21.16696
775,3.703017,2.682535,2.9978087,21.660376
776,3.338901,3.6241705,3.6379795,24.540817
777,3.1564035,3.6961076,4.138716,25.86365
778,3.2034445,3.00945,4.7078004,26.145247
779,3.6307676,3.07484,4.9760284,27.99705
780,4.015438,4.2174506,0.06616574,16.635775
781,3.722997,4.5451927,0.6191337,18.176636
782,3.973857,3.8315763,1.1646252,18.799026
783,3.4837077,3.7978315,1.7958554,19.682127
784,3.375433,3.4641936,2.5182304,20.837778
785,3.1173885,3.9354234,3.1492388,23.464638
786,3.3613255,2.9187016,3.4762342,22.775476
787,3.7283034,2.5196033,3.8301969,23.791115
788,3.2796645,3.5373232,4.705308,27.247065
789,3.0509114,2.6267517,4.8697233,26.126665
790,3.6540194,5.3235183,0.14189117,18.175444
791,3.9860363,5.5319533,0.62279004,20.67242
792,3.6770704,3.8462982,1.201844,18.143064
793,3.690657,5.0019407,1.6480876,21.733835
794,3.6698005,4.8769617,2.4687145,23.92176
795,3.4227688,5.2305436,2.9779212,25.692455
796,3.8047993,3.999361,3.3388119,25.432669
797,3.4619615,4.3195186,4.160345,27.708027
798,3.6814876,3.3731093,4.5003037,27.133446
799,3.5433884,4.721078,5.049178,31.679764
800,3.6340725,2.2094133,0.18936239,12.082701
801,4.267466,2.3070788,0.5709948,14.783439
802,3.627709,3.2028303,1.1659054,16.830864
803,3.7996967,1.7683432,1.8427286,16.335308
804,3.838083,2.0037658,2.1406004,17.937208
805,3.7453778,1.4558337,2.7096717,18.444815
806,3.8878388,2.2445254,3.2198358,21.848087
807,3.9256966,1.9382874,3.591079,22.46412
808,3.8288648,2.5612564,4.208278,25.184877
809,4.379233,0.0,4.8851914,22.746517
810,3.4812303,2.6982636,0.16069332,12.719901
811,3.3881838,2.3777928,0.8258646,13.964104
812,3.8499808,1.4831946,1.2942907,14.594979
813,4.0126143,1.536343,1.9154965,16.809143
814,4.13161,1.5507268,2.4889607,18.573927
815,4.064509,0.73881125,3.1036947,18.607248
816,3.9563699,1.5544517,3.5559838,21.310978
817,3.7272863,0.8001895,3.9871218,21.03251
818,4.232262,1.4084044,4.400542,24.04126
819,4.1061263,1.8466498,5.073262,26.4263
820,3.9384308,2.3544958,0.20554422,13.008604
821,4.13835,2.1051943,0.7005958,14.43282
822,3.8013227,2.9449186,1.2379009,17.05059
823,4.2179565,1.917585,1.7952503,17.514898
824,4.364516,1.4056696,2.316131,18.253027
825,4.335574,1.2330772,3.1218245,20.198534
826,3.8989184,2.0034275,3.270647,21.546225
827,4.326683,1.4021387,3.8071172,22.4779
828,3.7258656,0.7318129,4.6635633,22.556698
829,4.267042,2.1020353,5.0640163,27.59282
